Date,Sex,Age_below_15,Age_15-24,Age_25-34,Age_35-44,Age_45-59,Age_60+
09/04/2020,Male,0,42,56,54,68,82
09/04/2020,Female,0,58,44,46,32,18
10/04/2020,Male,38,48,50,74,58,64
10/04/2020,Female,62,52,50,26,42,36
11/04/2020,Male,36,58,52,72,58,46
11/04/2020,Female,64,42,46,28,42,54
12/04/2020,Male,36,58,52,72,58,46
12/04/2020,Female,64,42,46,28,42,54
13/04/2020,Male,50,66,69,78,62,68
13/04/2020,Female,50,34,41,22,38,42
14/04/2020,Male,50,66,59,78,62,68
14/04/2020,Female,50,34,41,22,38,42
15/04/2020,Male,50,66,59,78,62,68
15/04/2020,Female,50,34,41,22,38,42
16/04/2020,Male,50,66,59,78,62,68
16/04/2020,Female,50,34,41,22,38,42
17/04/2020,Male,50,66,59,78,62,68
17/04/2020,Female,50,34,41,22,38,42
18/04/2020,Male,,,,,,
18/04/2020,Female,,,,,,
19/04/2020,Male,45,62,63,68,60,65
19/04/2020,Female,55,38,37,32,40,35
20/04/2020,Male,45,62,63,68,60,65
20/04/2020,Female,55,38,37,32,40,35
,,,,,,,
,,Percentage,,,,,
25/04/2020,Male,62,,,,,
25/04/2020,Female,38,,,,,
