Date,Region,latitude,longitude,Case,Current_Cases
28/03/2020,Greater Accra,5.594118,-0.167878,54,54
28/03/2020,Ashanti,6.664608,-1.619042,7,7
28/03/2020,Upper West,9.990491,-2.421579,1,1
29/03/2020,Greater Accra,5.594118,-0.167878,54,0
29/03/2020,Ashanti,6.664608,-1.619042,8,1
29/03/2020,Upper West,9.990491,-2.421579,1,0
30/03/2020,Greater Accra,5.594118,-0.167878,54,0
30/03/2020,Ashanti,6.664608,-1.619042,8,0
30/03/2020,Upper West,9.990491,-2.421579,1,0
31/03/2020,Greater Accra,5.594118,-0.167878,54,0
31/03/2020,NORTHERN,9.449062,-0.012126,10,10
31/03/2020,Ashanti,6.664608,-1.619042,9,1
31/03/2020,Upper West,9.990491,-2.421579,1,0
01/04/2020,Greater Accra,5.594118,-0.167878,174,120
01/04/2020,Northern,9.449062,-0.012126,10,0
01/04/2020,Ashanti,6.664608,-1.619042,9,0
01/04/2020,Upper West,9.990491,-2.421579,1,0
01/04/2020,Eastern,6.238855,-0.220998,1,1
02/04/2020,Greater Accra,5.594118,-0.167878,183,9
02/04/2020,Northern,9.449062,-0.012126,10,0
02/04/2020,Ashanti,6.664608,-1.619042,9,0
02/04/2020,Upper West,9.990491,-2.421579,1,0
02/04/2020,Eastern,6.238855,-0.220998,1,0
03/04/2020,Greater Accra,5.594118,-0.167878,183,0
03/04/2020,Northern,9.449062,-0.012126,10,0
03/04/2020,Ashanti,6.664608,-1.619042,9,0
03/04/2020,Upper West,9.990491,-2.421579,1,0
03/04/2020,EASTERN,6.238855,-0.220998,1,0
03/04/2020,Upper East,10.746969,-0.792669,1,1
04/04/2020,Greater Accra,5.594118,-0.167878,189,9
04/04/2020,Northern,9.449062,-0.012126,10,0
04/04/2020,Ashanti,6.664608,-1.619042,12,3
04/04/2020,Upper West,9.990491,-2.421579,1,0
04/04/2020,EASTERN,6.238855,-0.220998,1,0
04/04/2020,Upper East,10.746969,-0.792669,1,0
05/04/2020,Greater Accra,5.594118,-0.167878,189,0
05/04/2020,Northern,9.449062,-0.012126,10,0
05/04/2020,Ashanti,6.664608,-1.619042,12,0
05/04/2020,Upper West,9.990491,-2.421579,1,0
05/04/2020,EASTERN,6.238855,-0.220998,1,0
05/04/2020,Upper East,10.746969,-0.792669,1,0
06/04/2020,Greater Accra,5.594118,-0.167878,256,67
06/04/2020,Northern,9.449062,-0.012126,10,0
