Date,Confirmed,Recovered,Discharged_(Home_Mgt),Responding_Treatment,Critical_Condition,Death
26/03/2020,54,,14,,,3
27/03/2020,58,,14,,,3
28/03/2020,62,,14,,,3
29/03/2020,63,,14,,,3
30/03/2020,63,2,16,2,,5
31/03/2020,72,3,18,,,5
01/04/2020,106,3,18,1,,5
02/04/2020,115,3,18,87,2,5
03/04/2020,116,3,18,87,2,5
04/04/2020,124,3,18,96,2,5
05/04/2020,124,3,18,96,2,5
06/04/2020,161,3,18,132,2,5
07/04/2020,161,3,18,132,2,6
08/04/2020,161,3,18,132,2,6
09/04/2020,192,4,0,180,2,6
10/04/2020,205,4,0,191,2,8
11/04/2020,292,4,0,278,2,8
12/04/2020,292,4,0,278,2,8
13/04/2020,268,17,0,241,2,8
14/04/2020,268,17,0,241,2,8
15/04/2020,268,83,0,175,2,8
16/04/2020,268,83,0,175,2,8
17/04/2020,268,83,0,175,2,8
18/04/2020,346,99,0,234,4,9
19/04/2020,383,99,0,271,4,9
20/04/2020,383,99,0,271,4,9
21/04/2020,383,99,0,271,4,9
22/04/2020,438,134,134,290,4,10
23/04/2020,438,134,134,290,4,10
24/04/2020,438,134,134,290,4,10
25/04/2020,513,155,155,341,6,11
